respondent_id,nps,satisfaction,feedback_text,topic_id
R000071,9,10.0,KOL reviews are useful but need to be authentic,5
R000072,10,10.0,KOL reviews are useful but need to be authentic,5
R000073,9,10.0,I prefer brands with recyclable packaging,5
R000074,8,7.85,livestream promotion helps me discover new products,4
R000075,6,7.74,the price feels high without promotion,4
R000076,9,10.0,stockouts make me switch to other brands,3
R000077,10,10.0,I compare price across platforms before purchase,1
R000078,6,7.54,I care about ingredients and product safety,2
R000079,6,5.49,the price feels high without promotion,4
R000080,10,8.08,I care about ingredients and product safety,2
R000081,10,9.21,KOL reviews are useful but need to be authentic,5
R000082,8,8.69,livestream promotion helps me discover new products,4
R000083,7,8.64,I compare price across platforms before purchase,1
R000084,5,6.26,I compare price across platforms before purchase,1
R000085,7,8.02,discount bundles make me more willing to buy,3
R000086,9,9.03,the price feels high without promotion,4
R000087,8,8.92,delivery speed affects whether I choose the brand,5
R000088,9,8.38,offline availability is not always convenient,5
R000089,8,9.0,the package design should show product benefits more clearly,2
R000090,9,9.55,I prefer brands with recyclable packaging,5
R000091,8,8.39,the price feels high without promotion,4
R000092,9,7.37,I compare price across platforms before purchase,1
R000093,7,8.29,offline availability is not always convenient,5
R000094,10,9.93,I compare price across platforms before purchase,1
R000095,7,8.76,quality improvement would make me repurchase more often,0
R000096,10,10.0,membership coupons can increase repeat purchase,1
R000097,9,8.6,quality improvement would make me repurchase more often,0
R000098,6,8.29,delivery speed affects whether I choose the brand,5
R000099,9,9.22,I compare price across platforms before purchase,1
R000100,6,7.91,low carbon packaging would improve brand impression,5
R000101,7,5.35,sustainability claims need to be more credible,5
R000102,7,6.59,livestream promotion helps me discover new products,4
R000103,9,10.0,the product quality is stable and trustworthy,0
R000104,10,9.74,quality improvement would make me repurchase more often,0
R000105,10,9.55,stockouts make me switch to other brands,3
R000106,7,6.53,I prefer brands with recyclable packaging,5
R000107,10,10.0,I care about ingredients and product safety,2
R000108,6,8.14,sustainability claims need to be more credible,5
R000109,9,8.38,livestream promotion helps me discover new products,4
R000110,10,10.0,the price feels high without promotion,4
R000111,5,6.23,the package design should show product benefits more clearly,2
R000112,8,7.24,I care about ingredients and product safety,2
R000113,10,9.19,livestream promotion helps me discover new products,4
R000114,10,7.78,livestream promotion helps me discover new products,4
R000115,9,9.8,membership coupons can increase repeat purchase,1
R000116,6,6.9,the package design should show product benefits more clearly,2
R000117,6,5.24,discount bundles make me more willing to buy,3
R000118,6,6.76,offline availability is not always convenient,5
R000119,6,8.04,the product quality is stable and trustworthy,0
R000120,9,10.0,delivery speed affects whether I choose the brand,5
R000121,7,8.9,discount bundles make me more willing to buy,3
R000122,5,5.72,the packaging is convenient but could look more premium,5
R000123,9,9.72,I care about ingredients and product safety,2
R000124,8,8.44,I prefer brands with recyclable packaging,5
R000125,10,10.0,offline availability is not always convenient,5
R000126,7,7.05,I compare price across platforms before purchase,1
R000127,10,9.8,the package design should show product benefits more clearly,2
R000128,9,8.67,KOL reviews are useful but need to be authentic,5
R000129,9,9.01,low carbon packaging would improve brand impression,5
R000130,9,7.02,KOL reviews are useful but need to be authentic,5
R000131,5,6.38,quality improvement would make me repurchase more often,0
R000132,9,8.85,the packaging is convenient but could look more premium,5
R000133,8,8.63,the package design should show product benefits more clearly,2
R000134,3,4.37,I compare price across platforms before purchase,1
R000135,6,7.58,livestream promotion helps me discover new products,4
R000136,10,8.85,quality improvement would make me repurchase more often,0
R000137,5,6.05,I prefer brands with recyclable packaging,5
R000138,10,10.0,the product quality is stable and trustworthy,0
R000139,8,7.3,portable packaging is useful for work and travel,5
R000140,7,7.64,stockouts make me switch to other brands,3
R000141,10,10.0,delivery speed affects whether I choose the brand,5
R000142,9,9.62,portable packaging is useful for work and travel,5
R000143,6,6.5,livestream promotion helps me discover new products,4
R000144,9,8.63,quality improvement would make me repurchase more often,0
R000145,6,6.38,I care about ingredients and product safety,2
R000146,9,8.48,the price feels high without promotion,4
R000147,9,8.55,discount bundles make me more willing to buy,3
R000148,9,9.39,I care about ingredients and product safety,2
R000149,6,6.95,I care about ingredients and product safety,2
R000150,9,7.92,livestream promotion helps me discover new products,4
R000151,5,7.22,livestream promotion helps me discover new products,4
R000152,8,9.2,the price feels high without promotion,4
R000153,10,10.0,sustainability claims need to be more credible,5
R000154,1,3.45,I compare price across platforms before purchase,1
R000155,10,10.0,stockouts make me switch to other brands,3
R000156,5,6.49,quality improvement would make me repurchase more often,0
R000157,10,10.0,the package design should show product benefits more clearly,2
R000158,8,7.9,the product quality is stable and trustworthy,0
R000159,5,7.29,quality improvement would make me repurchase more often,0
R000160,7,6.29,quality improvement would make me repurchase more often,0
R000161,10,10.0,stockouts make me switch to other brands,3
R000162,10,10.0,I care about ingredients and product safety,2
R000163,5,5.56,I compare price across platforms before purchase,1
R000164,8,10.0,portable packaging is useful for work and travel,5
R000165,10,10.0,livestream promotion helps me discover new products,4
R000166,7,8.27,I compare price across platforms before purchase,1
R000167,10,8.75,quality improvement would make me repurchase more often,0
R000168,8,6.21,the packaging is convenient but could look more premium,5
R000169,6,6.13,the packaging is convenient but could look more premium,5
R000170,8,10.0,portable packaging is useful for work and travel,5
R000171,6,6.34,KOL reviews are useful but need to be authentic,5
R000172,8,8.86,I prefer brands with recyclable packaging,5
R000173,7,6.55,I compare price across platforms before purchase,1
R000174,10,9.07,the package design should show product benefits more clearly,2
R000175,9,8.3,sustainability claims need to be more credible,5
R000176,6,7.04,portable packaging is useful for work and travel,5
R000177,8,8.44,delivery speed affects whether I choose the brand,5
R000178,4,6.41,I compare price across platforms before purchase,1
R000179,9,10.0,stockouts make me switch to other brands,3
R000180,9,9.31,the price feels high without promotion,4
R000181,6,7.75,delivery speed affects whether I choose the brand,5
R000182,10,10.0,discount bundles make me more willing to buy,3
R000183,9,9.13,membership coupons can increase repeat purchase,1
R000184,8,7.71,delivery speed affects whether I choose the brand,5
R000185,8,8.75,quality improvement would make me repurchase more often,0
R000186,10,9.82,the product quality is stable and trustworthy,0
R000187,8,9.46,I compare price across platforms before purchase,1
R000188,8,7.91,I compare price across platforms before purchase,1
R000189,7,7.72,discount bundles make me more willing to buy,3
R000190,9,8.23,membership coupons can increase repeat purchase,1
R000191,7,7.3,membership coupons can increase repeat purchase,1
R000192,6,5.37,offline availability is not always convenient,5
R000193,9,10.0,the product quality is stable and trustworthy,0
R000194,9,9.3,the packaging is convenient but could look more premium,5
R000195,7,8.56,the package design should show product benefits more clearly,2
R000196,10,9.24,livestream promotion helps me discover new products,4
R000197,10,9.4,offline availability is not always convenient,5
R000198,8,6.88,KOL reviews are useful but need to be authentic,5
R000199,10,9.84,delivery speed affects whether I choose the brand,5
R000200,9,9.34,KOL reviews are useful but need to be authentic,5
R000201,9,9.4,I compare price across platforms before purchase,1
R000202,9,9.61,offline availability is not always convenient,5
R000203,8,8.71,the price feels high without promotion,4
R000204,8,7.73,the packaging is convenient but could look more premium,5
R000205,9,8.85,I prefer brands with recyclable packaging,5
R000206,10,8.44,membership coupons can increase repeat purchase,1
R000207,8,8.87,the price feels high without promotion,4
R000208,7,8.04,I care about ingredients and product safety,2
R000209,5,7.77,offline availability is not always convenient,5
R000210,8,9.25,membership coupons can increase repeat purchase,1
R000211,8,5.94,the package design should show product benefits more clearly,2
R000212,8,9.75,the product quality is stable and trustworthy,0
R000213,5,6.55,I compare price across platforms before purchase,1
R000214,8,9.28,quality improvement would make me repurchase more often,0
R000215,4,5.85,the package design should show product benefits more clearly,2
R000216,10,10.0,low carbon packaging would improve brand impression,5
R000217,10,9.51,KOL reviews are useful but need to be authentic,5
R000218,7,8.34,offline availability is not always convenient,5
R000219,10,9.56,the package design should show product benefits more clearly,2
R000220,5,7.03,I care about ingredients and product safety,2
R000221,10,10.0,quality improvement would make me repurchase more often,0
R000222,9,10.0,membership coupons can increase repeat purchase,1
R000223,10,10.0,quality improvement would make me repurchase more often,0
R000224,10,10.0,delivery speed affects whether I choose the brand,5
R000225,9,10.0,stockouts make me switch to other brands,3
R000226,10,10.0,the product quality is stable and trustworthy,0
R000227,10,9.48,the product quality is stable and trustworthy,0
R000228,9,9.7,the price feels high without promotion,4
R000229,8,8.76,the product quality is stable and trustworthy,0
R000230,9,8.54,I prefer brands with recyclable packaging,5
R000231,5,7.21,the packaging is convenient but could look more premium,5
R000232,7,7.29,KOL reviews are useful but need to be authentic,5
R000233,8,8.69,I compare price across platforms before purchase,1
R000234,8,10.0,quality improvement would make me repurchase more often,0
R000235,8,9.2,sustainability claims need to be more credible,5
R000236,10,10.0,the product quality is stable and trustworthy,0
R000237,9,10.0,I prefer brands with recyclable packaging,5
R000238,7,7.39,I compare price across platforms before purchase,1
R000239,9,9.63,KOL reviews are useful but need to be authentic,5
R000240,10,9.79,delivery speed affects whether I choose the brand,5
R000241,10,9.17,I care about ingredients and product safety,2
R000242,10,8.89,quality improvement would make me repurchase more often,0
R000243,8,8.2,membership coupons can increase repeat purchase,1
R000244,8,8.54,livestream promotion helps me discover new products,4
R000245,7,6.83,KOL reviews are useful but need to be authentic,5
R000246,6,7.89,the packaging is convenient but could look more premium,5
R000247,10,10.0,the packaging is convenient but could look more premium,5
R000248,8,7.95,membership coupons can increase repeat purchase,1
R000249,6,7.89,I compare price across platforms before purchase,1
R000250,7,6.34,the price feels high without promotion,4
R000251,10,9.52,offline availability is not always convenient,5
R000252,4,6.33,the package design should show product benefits more clearly,2
R000253,6,5.18,delivery speed affects whether I choose the brand,5
R000254,6,8.3,membership coupons can increase repeat purchase,1
R000255,10,9.38,stockouts make me switch to other brands,3
R000256,8,8.17,stockouts make me switch to other brands,3
R000257,8,8.87,the product quality is stable and trustworthy,0
R000258,9,8.81,the price feels high without promotion,4
R000259,10,9.52,offline availability is not always convenient,5
R000260,8,8.47,the package design should show product benefits more clearly,2
R000261,7,7.79,the price feels high without promotion,4
R000262,10,9.62,delivery speed affects whether I choose the brand,5
R000263,10,9.7,I care about ingredients and product safety,2
R000264,5,6.75,sustainability claims need to be more credible,5
R000265,7,8.44,portable packaging is useful for work and travel,5
R000266,8,7.84,discount bundles make me more willing to buy,3
R000267,9,10.0,offline availability is not always convenient,5
R000268,8,7.55,the price feels high without promotion,4
R000269,7,7.23,discount bundles make me more willing to buy,3
R000270,10,9.44,offline availability is not always convenient,5
R000271,9,8.46,stockouts make me switch to other brands,3
R000272,10,10.0,I compare price across platforms before purchase,1
R000273,8,8.3,discount bundles make me more willing to buy,3
R000274,10,9.33,I prefer brands with recyclable packaging,5
R000275,9,8.79,I care about ingredients and product safety,2
R000276,7,8.12,the price feels high without promotion,4
R000277,7,7.18,discount bundles make me more willing to buy,3
R000278,10,9.6,the price feels high without promotion,4
R000279,8,8.39,quality improvement would make me repurchase more often,0
R000280,10,9.45,I compare price across platforms before purchase,1
R000281,10,9.83,I prefer brands with recyclable packaging,5
R000282,9,10.0,discount bundles make me more willing to buy,3
R000283,8,7.47,stockouts make me switch to other brands,3
R000284,7,7.67,I compare price across platforms before purchase,1
R000285,8,7.63,delivery speed affects whether I choose the brand,5
R000286,8,7.05,livestream promotion helps me discover new products,4
R000287,10,10.0,I prefer brands with recyclable packaging,5
R000288,9,8.69,livestream promotion helps me discover new products,4
R000289,8,10.0,the packaging is convenient but could look more premium,5
R000290,10,9.14,quality improvement would make me repurchase more often,0
R000291,10,9.92,KOL reviews are useful but need to be authentic,5
R000292,9,10.0,livestream promotion helps me discover new products,4
R000293,10,8.94,the packaging is convenient but could look more premium,5
R000294,7,8.79,membership coupons can increase repeat purchase,1
R000295,9,10.0,delivery speed affects whether I choose the brand,5
R000296,8,8.19,portable packaging is useful for work and travel,5
R000297,7,7.36,livestream promotion helps me discover new products,4
R000298,4,5.65,KOL reviews are useful but need to be authentic,5
R000299,7,9.27,discount bundles make me more willing to buy,3
R000300,7,6.4,low carbon packaging would improve brand impression,5
R000301,9,9.89,sustainability claims need to be more credible,5
R000302,10,10.0,quality improvement would make me repurchase more often,0
R000303,9,7.72,I prefer brands with recyclable packaging,5
R000304,9,10.0,stockouts make me switch to other brands,3
R000305,8,8.26,discount bundles make me more willing to buy,3
R000306,10,10.0,the package design should show product benefits more clearly,2
R000307,6,5.8,offline availability is not always convenient,5
R000308,10,10.0,stockouts make me switch to other brands,3
R000309,8,8.68,livestream promotion helps me discover new products,4
R000310,8,6.58,I compare price across platforms before purchase,1
R000311,6,6.24,discount bundles make me more willing to buy,3
R000312,7,9.04,I prefer brands with recyclable packaging,5
R000313,10,9.58,I compare price across platforms before purchase,1
R000314,9,8.5,membership coupons can increase repeat purchase,1
R000315,9,10.0,low carbon packaging would improve brand impression,5
R000316,5,4.72,livestream promotion helps me discover new products,4
R000317,10,8.12,the price feels high without promotion,4
R000318,10,9.2,delivery speed affects whether I choose the brand,5
R000319,8,7.06,stockouts make me switch to other brands,3
R000320,8,7.49,the package design should show product benefits more clearly,2
R000321,10,9.14,low carbon packaging would improve brand impression,5
R000322,9,9.62,discount bundles make me more willing to buy,3
R000323,10,10.0,I care about ingredients and product safety,2
R000324,10,9.81,quality improvement would make me repurchase more often,0
R000325,6,7.93,the product quality is stable and trustworthy,0
R000326,9,9.93,low carbon packaging would improve brand impression,5
R000327,6,7.62,quality improvement would make me repurchase more often,0
R000328,10,10.0,quality improvement would make me repurchase more often,0
R000329,7,6.14,the packaging is convenient but could look more premium,5
R000330,8,8.79,KOL reviews are useful but need to be authentic,5
R000331,10,10.0,I compare price across platforms before purchase,1
R000332,8,8.67,I care about ingredients and product safety,2
R000333,10,10.0,discount bundles make me more willing to buy,3
R000334,6,8.19,low carbon packaging would improve brand impression,5
R000335,7,8.37,the packaging is convenient but could look more premium,5
R000336,9,9.45,portable packaging is useful for work and travel,5
R000337,7,7.05,offline availability is not always convenient,5
R000338,9,9.49,the packaging is convenient but could look more premium,5
R000339,6,7.45,offline availability is not always convenient,5
R000340,8,8.83,quality improvement would make me repurchase more often,0
R000341,7,8.1,I compare price across platforms before purchase,1
R000342,10,9.86,offline availability is not always convenient,5
R000343,8,8.9,discount bundles make me more willing to buy,3
R000344,7,8.41,livestream promotion helps me discover new products,4
R000345,9,8.26,delivery speed affects whether I choose the brand,5
R000346,4,4.95,the packaging is convenient but could look more premium,5
R000347,8,9.31,KOL reviews are useful but need to be authentic,5
R000348,7,6.83,quality improvement would make me repurchase more often,0
R000349,6,8.67,discount bundles make me more willing to buy,3
R000350,10,9.57,I prefer brands with recyclable packaging,5
R000351,7,7.44,offline availability is not always convenient,5
R000352,10,9.74,KOL reviews are useful but need to be authentic,5
R000353,3,4.21,I care about ingredients and product safety,2
R000354,8,8.74,portable packaging is useful for work and travel,5
R000355,4,5.82,livestream promotion helps me discover new products,4
R000356,7,8.35,I prefer brands with recyclable packaging,5
R000357,10,9.69,the price feels high without promotion,4
R000358,10,10.0,the packaging is convenient but could look more premium,5
R000359,9,10.0,delivery speed affects whether I choose the brand,5
R000360,8,7.86,the package design should show product benefits more clearly,2
R000361,8,7.61,offline availability is not always convenient,5
R000362,5,7.99,the packaging is convenient but could look more premium,5
R000363,10,9.28,sustainability claims need to be more credible,5
R000364,10,9.86,the product quality is stable and trustworthy,0
R000365,9,8.21,the price feels high without promotion,4
R000366,10,9.92,the product quality is stable and trustworthy,0
R000367,8,7.68,the product quality is stable and trustworthy,0
R000368,6,6.41,the price feels high without promotion,4
R000369,6,5.91,I compare price across platforms before purchase,1
R000370,6,5.45,livestream promotion helps me discover new products,4
R000371,10,10.0,offline availability is not always convenient,5
R000372,6,6.87,discount bundles make me more willing to buy,3
R000373,10,10.0,I care about ingredients and product safety,2
R000374,8,8.36,KOL reviews are useful but need to be authentic,5
R000375,6,7.46,portable packaging is useful for work and travel,5
R000376,7,8.34,the price feels high without promotion,4
R000377,9,7.37,livestream promotion helps me discover new products,4
R000378,9,8.76,the package design should show product benefits more clearly,2
R000379,5,5.39,livestream promotion helps me discover new products,4
R000380,10,10.0,the packaging is convenient but could look more premium,5
R000381,7,6.92,membership coupons can increase repeat purchase,1
R000382,10,10.0,sustainability claims need to be more credible,5
R000383,8,9.84,membership coupons can increase repeat purchase,1
R000384,4,5.11,the price feels high without promotion,4
R000385,9,8.59,the package design should show product benefits more clearly,2
R000386,10,10.0,the product quality is stable and trustworthy,0
R000387,9,7.8,the package design should show product benefits more clearly,2
R000388,6,6.39,I care about ingredients and product safety,2
R000389,9,8.26,I care about ingredients and product safety,2
R000390,6,6.31,membership coupons can increase repeat purchase,1
R000391,8,9.32,sustainability claims need to be more credible,5
R000392,8,8.97,low carbon packaging would improve brand impression,5
R000393,9,9.55,delivery speed affects whether I choose the brand,5
R000394,10,9.05,livestream promotion helps me discover new products,4
R000395,9,10.0,discount bundles make me more willing to buy,3
R000396,10,10.0,I care about ingredients and product safety,2
R000397,7,7.75,quality improvement would make me repurchase more often,0
R000398,10,10.0,I prefer brands with recyclable packaging,5
R000399,8,7.51,stockouts make me switch to other brands,3
R000400,9,10.0,stockouts make me switch to other brands,3
R000401,8,6.61,quality improvement would make me repurchase more often,0
R000402,4,5.2,discount bundles make me more willing to buy,3
R000403,10,9.92,the product quality is stable and trustworthy,0
R000404,7,5.62,the price feels high without promotion,4
R000405,7,8.85,delivery speed affects whether I choose the brand,5
R000406,6,6.86,I compare price across platforms before purchase,1
R000407,10,9.73,quality improvement would make me repurchase more often,0
R000408,8,8.87,the packaging is convenient but could look more premium,5
R000409,7,8.15,the packaging is convenient but could look more premium,5
R000410,10,10.0,sustainability claims need to be more credible,5
R000411,6,7.42,I compare price across platforms before purchase,1
R000412,10,9.07,livestream promotion helps me discover new products,4
R000413,10,9.23,membership coupons can increase repeat purchase,1
R000414,10,9.21,offline availability is not always convenient,5
R000415,8,6.9,stockouts make me switch to other brands,3
R000416,6,7.04,discount bundles make me more willing to buy,3
R000417,10,10.0,the packaging is convenient but could look more premium,5
R000418,8,6.62,discount bundles make me more willing to buy,3
R000419,10,6.75,I compare price across platforms before purchase,1
R000420,9,9.4,offline availability is not always convenient,5
R000421,5,7.09,portable packaging is useful for work and travel,5
R000422,5,6.98,the price feels high without promotion,4
R000423,8,8.73,quality improvement would make me repurchase more often,0
R000424,7,7.95,quality improvement would make me repurchase more often,0
R000425,10,9.76,low carbon packaging would improve brand impression,5
R000426,8,7.22,membership coupons can increase repeat purchase,1
R000427,10,8.96,discount bundles make me more willing to buy,3
R000428,7,7.4,livestream promotion helps me discover new products,4
R000429,8,8.06,quality improvement would make me repurchase more often,0
R000430,10,10.0,stockouts make me switch to other brands,3
R000431,10,8.96,delivery speed affects whether I choose the brand,5
R000432,5,6.8,delivery speed affects whether I choose the brand,5
R000433,4,5.85,KOL reviews are useful but need to be authentic,5
R000434,9,8.03,discount bundles make me more willing to buy,3
R000435,6,7.09,the package design should show product benefits more clearly,2
R000436,5,6.71,livestream promotion helps me discover new products,4
R000437,9,7.84,the price feels high without promotion,4
R000438,10,8.06,I care about ingredients and product safety,2
R000439,10,7.94,I prefer brands with recyclable packaging,5
R000440,10,10.0,I care about ingredients and product safety,2
R000441,8,8.33,delivery speed affects whether I choose the brand,5
R000442,8,8.6,offline availability is not always convenient,5
R000443,9,9.83,portable packaging is useful for work and travel,5
R000444,9,10.0,quality improvement would make me repurchase more often,0
R000445,10,9.61,the package design should show product benefits more clearly,2
R000446,8,8.02,portable packaging is useful for work and travel,5
R000447,7,8.88,delivery speed affects whether I choose the brand,5
R000448,4,4.31,the price feels high without promotion,4
R000449,6,6.77,the product quality is stable and trustworthy,0
R000450,7,8.72,offline availability is not always convenient,5
R000451,9,9.38,I compare price across platforms before purchase,1
R000452,4,5.73,discount bundles make me more willing to buy,3
R000453,6,7.2,membership coupons can increase repeat purchase,1
R000454,10,9.83,delivery speed affects whether I choose the brand,5
R000455,8,10.0,KOL reviews are useful but need to be authentic,5
R000456,7,7.41,I compare price across platforms before purchase,1
R000457,7,8.45,KOL reviews are useful but need to be authentic,5
R000458,8,6.58,offline availability is not always convenient,5
R000459,10,9.6,the package design should show product benefits more clearly,2
R000460,7,7.8,discount bundles make me more willing to buy,3
R000461,8,8.52,delivery speed affects whether I choose the brand,5
R000462,10,8.84,I compare price across platforms before purchase,1
R000463,10,9.68,offline availability is not always convenient,5
R000464,8,7.42,I care about ingredients and product safety,2
R000465,8,7.55,I prefer brands with recyclable packaging,5
R000466,4,5.62,the price feels high without promotion,4
R000467,10,10.0,membership coupons can increase repeat purchase,1
R000468,8,8.47,stockouts make me switch to other brands,3
R000469,5,5.16,the price feels high without promotion,4
R000470,9,9.24,livestream promotion helps me discover new products,4
R000471,6,8.63,livestream promotion helps me discover new products,4
R000472,10,10.0,I prefer brands with recyclable packaging,5
R000473,7,7.79,KOL reviews are useful but need to be authentic,5
R000474,8,7.97,KOL reviews are useful but need to be authentic,5
R000475,10,10.0,I care about ingredients and product safety,2
R000476,7,7.89,low carbon packaging would improve brand impression,5
R000477,10,10.0,low carbon packaging would improve brand impression,5
R000478,8,8.04,the packaging is convenient but could look more premium,5
R000479,9,7.88,the packaging is convenient but could look more premium,5
R000480,8,8.66,I prefer brands with recyclable packaging,5
R000481,7,7.73,I care about ingredients and product safety,2
R000482,10,10.0,quality improvement would make me repurchase more often,0
R000483,7,6.0,the price feels high without promotion,4
R000484,9,8.11,offline availability is not always convenient,5
R000485,8,8.1,portable packaging is useful for work and travel,5
R000486,9,9.08,the product quality is stable and trustworthy,0
R000487,3,5.48,the packaging is convenient but could look more premium,5
R000488,7,8.8,I care about ingredients and product safety,2
R000489,8,8.0,sustainability claims need to be more credible,5
R000490,9,8.17,the product quality is stable and trustworthy,0
R000491,8,8.57,the product quality is stable and trustworthy,0
R000492,6,7.69,quality improvement would make me repurchase more often,0
R000493,9,8.49,sustainability claims need to be more credible,5
R000494,10,9.48,membership coupons can increase repeat purchase,1
R000495,9,8.52,delivery speed affects whether I choose the brand,5
R000496,8,10.0,I care about ingredients and product safety,2
R000497,10,9.7,I care about ingredients and product safety,2
R000498,10,10.0,quality improvement would make me repurchase more often,0
R000499,9,8.65,livestream promotion helps me discover new products,4
R000500,6,5.35,KOL reviews are useful but need to be authentic,5
R000501,6,8.11,I compare price across platforms before purchase,1
R000502,6,6.1,portable packaging is useful for work and travel,5
R000503,10,9.66,the price feels high without promotion,4
R000504,9,9.52,membership coupons can increase repeat purchase,1
R000505,4,5.51,the price feels high without promotion,4
R000506,8,8.57,quality improvement would make me repurchase more often,0
R000507,9,9.65,the product quality is stable and trustworthy,0
R000508,8,8.06,I compare price across platforms before purchase,1
R000509,10,10.0,I care about ingredients and product safety,2
R000510,10,9.85,livestream promotion helps me discover new products,4
R000511,6,9.82,the package design should show product benefits more clearly,2
R000512,7,7.8,stockouts make me switch to other brands,3
R000513,10,8.59,I care about ingredients and product safety,2
R000514,8,7.92,stockouts make me switch to other brands,3
R000515,6,9.72,I compare price across platforms before purchase,1
R000516,8,9.15,livestream promotion helps me discover new products,4
R000517,8,9.29,KOL reviews are useful but need to be authentic,5
R000518,8,8.44,membership coupons can increase repeat purchase,1
R000519,10,9.25,I care about ingredients and product safety,2
R000520,7,7.58,portable packaging is useful for work and travel,5
R000521,10,7.48,sustainability claims need to be more credible,5
R000522,7,8.14,the package design should show product benefits more clearly,2
R000523,9,8.54,I compare price across platforms before purchase,1
R000524,10,10.0,I compare price across platforms before purchase,1
R000525,10,10.0,I care about ingredients and product safety,2
R000526,4,5.31,the package design should show product benefits more clearly,2
R000527,6,7.7,KOL reviews are useful but need to be authentic,5
R000528,5,7.32,KOL reviews are useful but need to be authentic,5
R000529,10,9.86,delivery speed affects whether I choose the brand,5
R000530,9,8.09,the product quality is stable and trustworthy,0
R000531,6,7.68,I compare price across platforms before purchase,1
R000532,8,9.99,the packaging is convenient but could look more premium,5
R000533,8,7.46,membership coupons can increase repeat purchase,1
R000534,10,8.83,the price feels high without promotion,4
R000535,10,10.0,membership coupons can increase repeat purchase,1
R000536,5,7.09,discount bundles make me more willing to buy,3
R000537,7,7.85,membership coupons can increase repeat purchase,1
R000538,8,6.69,the packaging is convenient but could look more premium,5
R000539,9,7.56,membership coupons can increase repeat purchase,1
R000540,5,5.93,membership coupons can increase repeat purchase,1
