respondent_id,persona_seed,age,monthly_income,city_tier,primary_channel,category,price_sensitivity,quality_expectation,convenience_need,sustainability_attitude,willingness_to_pay,awareness,consideration,trial,repeat_purchase,monthly_purchase_frequency,satisfaction,nps,feedback_theme_seed,feedback_text,segment_id,segment
R000079,value_seekers,23,14554.94,tier_1,douyin,personal_care,8.75,6.21,7.57,5.51,19.72,1,1,1,1,3,5.49,6,price,the price feels high without promotion,2,Value Seekers
R000080,quality_first,36,6935.69,tier_2,tmall,healthy_snack,3.96,9.95,6.52,5.93,35.39,1,1,1,0,1,8.08,10,quality,I care about ingredients and product safety,1,Quality Loyalists
R000081,quality_first,28,15819.22,new_tier_1,douyin,home_cleaning,3.81,8.23,6.35,7.36,31.71,1,1,1,1,3,9.21,10,promotion,KOL reviews are useful but need to be authentic,1,Quality Loyalists
R000082,convenience_first,29,4886.08,tier_2,jd,personal_care,6.33,7.7,7.03,4.85,24.17,1,1,1,1,4,8.69,8,promotion,livestream promotion helps me discover new products,3,Convenience Driven
R000083,quality_first,51,9473.51,tier_3_plus,tmall,ready_to_drink,5.29,8.38,6.79,6.47,30.41,1,1,1,1,5,8.64,7,price,I compare price across platforms before purchase,1,Quality Loyalists
R000084,value_seekers,33,13847.45,new_tier_1,tmall,ready_to_drink,8.65,6.38,5.83,6.59,23.28,1,1,0,0,1,6.26,5,price,I compare price across platforms before purchase,2,Value Seekers
R000085,value_seekers,38,21007.89,tier_3_plus,douyin,home_cleaning,7.46,6.46,6.03,4.8,16.78,1,1,1,1,5,8.02,7,price,discount bundles make me more willing to buy,0,High Value Fans
R000086,convenience_first,21,10528.81,tier_2,offline_supermarket,home_cleaning,2.71,7.09,8.4,5.25,28.16,0,1,1,1,2,9.03,9,price,the price feels high without promotion,3,Convenience Driven
R000087,quality_first,30,10715.17,tier_2,xiaohongshu,personal_care,4.75,8.85,6.19,5.69,35.03,1,1,0,0,1,8.92,8,delivery,delivery speed affects whether I choose the brand,1,Quality Loyalists
R000088,convenience_first,37,12413.57,new_tier_1,jd,home_cleaning,6.66,7.09,8.31,5.18,25.64,1,1,1,1,3,8.38,9,delivery,offline availability is not always convenient,3,Convenience Driven
R000089,convenience_first,32,24328.58,tier_2,jd,ready_to_drink,3.78,7.09,7.54,5.96,31.1,0,1,1,0,4,9.0,8,packaging,the package design should show product benefits more clearly,3,Convenience Driven
R000090,new_explorers,35,13854.72,tier_1,offline_supermarket,personal_care,6.42,7.0,6.63,5.96,29.72,1,1,1,1,6,9.55,9,sustainability,I prefer brands with recyclable packaging,3,Convenience Driven
R000091,new_explorers,32,9594.28,tier_3_plus,private_domain,healthy_snack,5.74,7.21,7.78,6.19,28.19,0,1,1,1,3,8.39,8,price,the price feels high without promotion,3,Convenience Driven
R000092,value_seekers,43,8688.71,tier_2,xiaohongshu,ready_to_drink,8.64,6.17,6.19,5.14,18.59,1,1,1,0,1,7.37,9,price,I compare price across platforms before purchase,0,High Value Fans
R000093,new_explorers,23,18457.97,new_tier_1,jd,ready_to_drink,7.02,6.86,6.03,6.17,24.91,1,1,0,0,0,8.29,7,delivery,offline availability is not always convenient,0,High Value Fans
R000094,eco_advocates,33,15208.08,tier_2,private_domain,ready_to_drink,3.42,6.69,6.32,9.17,34.28,1,1,1,1,5,9.93,10,price,I compare price across platforms before purchase,4,Eco Advocates
R000095,convenience_first,35,9064.94,tier_3_plus,offline_supermarket,home_cleaning,4.02,6.88,9.99,6.53,26.94,0,0,0,0,0,8.76,7,quality,quality improvement would make me repurchase more often,3,Convenience Driven
R000096,convenience_first,35,9684.3,tier_2,tmall,ready_to_drink,5.69,6.37,9.03,4.64,21.82,0,1,1,1,2,10.0,10,promotion,membership coupons can increase repeat purchase,3,Convenience Driven
R000097,convenience_first,37,18885.12,tier_1,offline_supermarket,personal_care,5.58,5.61,7.85,5.22,30.98,0,1,1,1,1,8.6,9,quality,quality improvement would make me repurchase more often,3,Convenience Driven
R000098,new_explorers,35,8047.52,new_tier_1,offline_supermarket,healthy_snack,7.7,7.26,7.4,5.11,25.48,1,1,1,1,6,8.29,6,delivery,delivery speed affects whether I choose the brand,0,High Value Fans
R000099,value_seekers,33,9363.26,tier_3_plus,private_domain,home_cleaning,7.43,7.35,6.01,4.97,18.33,1,1,1,1,1,9.22,9,price,I compare price across platforms before purchase,0,High Value Fans
R000100,convenience_first,23,4419.02,tier_3_plus,jd,personal_care,6.17,7.04,9.18,5.52,25.12,1,1,1,1,3,7.91,6,sustainability,low carbon packaging would improve brand impression,3,Convenience Driven
R000101,eco_advocates,34,11558.08,tier_2,jd,healthy_snack,6.3,6.68,5.92,8.85,36.81,0,0,0,0,0,5.35,7,sustainability,sustainability claims need to be more credible,4,Eco Advocates
R000102,value_seekers,19,13197.22,tier_1,douyin,ready_to_drink,7.62,6.61,6.02,4.85,14.61,0,0,0,0,0,6.59,7,promotion,livestream promotion helps me discover new products,2,Value Seekers
R000103,convenience_first,29,8750.97,tier_2,jd,healthy_snack,5.26,6.02,9.28,6.39,24.85,1,0,1,1,3,10.0,9,quality,the product quality is stable and trustworthy,3,Convenience Driven
R000104,quality_first,32,19432.99,tier_1,tmall,personal_care,4.54,8.59,5.99,7.22,37.1,1,1,1,1,4,9.74,10,quality,quality improvement would make me repurchase more often,1,Quality Loyalists
R000105,eco_advocates,18,12778.3,tier_3_plus,xiaohongshu,healthy_snack,5.35,7.23,5.17,9.29,31.35,1,1,0,1,3,9.55,10,delivery,stockouts make me switch to other brands,4,Eco Advocates
R000106,value_seekers,42,7722.51,new_tier_1,xiaohongshu,healthy_snack,10.0,7.03,4.56,5.8,13.3,1,1,0,1,4,6.53,7,sustainability,I prefer brands with recyclable packaging,2,Value Seekers
R000107,convenience_first,21,8212.89,tier_3_plus,xiaohongshu,healthy_snack,5.55,5.71,9.32,6.66,25.22,0,0,1,1,3,10.0,10,quality,I care about ingredients and product safety,3,Convenience Driven
R000108,eco_advocates,25,18379.08,new_tier_1,douyin,ready_to_drink,6.92,7.06,6.56,8.02,30.64,1,0,0,0,0,8.14,6,sustainability,sustainability claims need to be more credible,4,Eco Advocates
R000109,convenience_first,34,38952.42,tier_1,offline_supermarket,healthy_snack,5.81,7.99,8.32,3.74,35.73,1,1,0,0,0,8.38,9,promotion,livestream promotion helps me discover new products,3,Convenience Driven
R000110,quality_first,35,11152.8,tier_3_plus,offline_supermarket,ready_to_drink,5.38,9.65,6.66,7.0,33.37,1,1,1,1,4,10.0,10,price,the price feels high without promotion,1,Quality Loyalists
R000111,convenience_first,36,5126.23,tier_1,tmall,healthy_snack,6.15,7.07,8.63,5.07,29.72,0,1,0,0,0,6.23,5,packaging,the package design should show product benefits more clearly,2,Value Seekers
R000112,quality_first,29,10375.5,new_tier_1,jd,ready_to_drink,5.52,9.37,5.78,5.65,34.31,1,0,0,0,0,7.24,8,quality,I care about ingredients and product safety,1,Quality Loyalists
R000113,convenience_first,22,7175.42,new_tier_1,jd,personal_care,5.13,6.47,8.13,6.82,24.93,1,1,0,1,0,9.19,10,promotion,livestream promotion helps me discover new products,3,Convenience Driven
R000114,value_seekers,32,7828.48,tier_1,tmall,home_cleaning,9.47,5.64,7.71,4.96,17.96,1,1,1,1,5,7.78,10,promotion,livestream promotion helps me discover new products,0,High Value Fans
R000115,quality_first,28,11241.19,tier_2,tmall,healthy_snack,5.48,9.22,6.48,5.75,32.14,1,1,0,1,6,9.8,9,promotion,membership coupons can increase repeat purchase,1,Quality Loyalists
R000116,value_seekers,25,10820.47,tier_2,xiaohongshu,healthy_snack,9.26,6.84,5.76,5.12,20.39,0,0,0,1,1,6.9,6,packaging,the package design should show product benefits more clearly,2,Value Seekers
R000117,value_seekers,33,3172.04,tier_3_plus,douyin,home_cleaning,8.64,5.6,6.52,5.47,11.8,1,1,1,0,1,5.24,6,price,discount bundles make me more willing to buy,2,Value Seekers
R000118,convenience_first,34,6452.07,tier_1,private_domain,healthy_snack,5.69,6.33,7.66,4.94,25.93,0,0,0,1,7,6.76,6,delivery,offline availability is not always convenient,3,Convenience Driven
R000119,value_seekers,38,11037.06,tier_2,offline_supermarket,ready_to_drink,8.52,7.6,5.8,4.82,19.15,1,1,1,1,7,8.04,6,quality,the product quality is stable and trustworthy,0,High Value Fans
R000120,convenience_first,20,22635.66,tier_3_plus,private_domain,healthy_snack,5.52,7.3,9.16,4.46,26.92,1,1,1,1,9,10.0,9,delivery,delivery speed affects whether I choose the brand,3,Convenience Driven
R000121,convenience_first,32,18245.9,tier_2,jd,healthy_snack,4.62,7.08,7.7,4.22,26.1,1,1,1,1,0,8.9,7,price,discount bundles make me more willing to buy,3,Convenience Driven
R000122,new_explorers,30,15012.33,tier_2,offline_supermarket,healthy_snack,6.91,6.74,7.88,7.7,25.18,1,1,0,0,0,5.72,5,packaging,the packaging is convenient but could look more premium,2,Value Seekers
R000123,quality_first,35,13889.87,new_tier_1,xiaohongshu,home_cleaning,4.94,8.34,6.72,6.63,23.97,1,0,0,0,1,9.72,9,quality,I care about ingredients and product safety,1,Quality Loyalists
R000124,quality_first,29,25559.89,tier_2,tmall,ready_to_drink,3.38,6.87,6.52,7.33,40.76,1,1,1,1,5,8.44,8,sustainability,I prefer brands with recyclable packaging,4,Eco Advocates
R000125,quality_first,18,13614.64,tier_1,private_domain,personal_care,2.72,9.16,6.97,4.98,30.39,1,1,1,1,6,10.0,10,delivery,offline availability is not always convenient,1,Quality Loyalists
R000126,value_seekers,22,7735.81,tier_3_plus,douyin,personal_care,6.63,6.27,5.37,5.27,19.07,1,1,1,1,4,7.05,7,price,I compare price across platforms before purchase,0,High Value Fans
R000127,convenience_first,27,24231.95,tier_3_plus,offline_supermarket,healthy_snack,5.33,6.26,9.18,6.34,33.73,1,1,1,1,5,9.8,10,packaging,the package design should show product benefits more clearly,3,Convenience Driven
R000128,eco_advocates,26,15819.19,tier_3_plus,jd,ready_to_drink,4.81,7.59,6.69,9.93,35.37,1,1,1,1,5,8.67,9,promotion,KOL reviews are useful but need to be authentic,4,Eco Advocates
R000129,quality_first,26,6293.14,tier_3_plus,private_domain,personal_care,4.76,9.92,7.76,5.28,35.23,1,1,1,1,4,9.01,9,sustainability,low carbon packaging would improve brand impression,1,Quality Loyalists
R000130,convenience_first,31,8307.13,new_tier_1,jd,home_cleaning,5.15,6.87,8.31,5.17,28.92,0,0,0,1,3,7.02,9,promotion,KOL reviews are useful but need to be authentic,3,Convenience Driven
R000131,new_explorers,32,7512.66,tier_2,offline_supermarket,healthy_snack,5.98,5.67,5.46,6.31,22.01,1,1,1,0,1,6.38,5,quality,quality improvement would make me repurchase more often,2,Value Seekers
R000132,convenience_first,30,7168.12,new_tier_1,tmall,home_cleaning,4.81,7.1,7.62,5.2,21.9,1,1,1,1,4,8.85,9,packaging,the packaging is convenient but could look more premium,3,Convenience Driven
R000133,eco_advocates,32,7256.64,new_tier_1,tmall,healthy_snack,4.96,8.18,7.41,8.87,30.6,1,0,0,0,1,8.63,8,packaging,the package design should show product benefits more clearly,4,Eco Advocates
R000134,new_explorers,31,6672.3,tier_2,offline_supermarket,ready_to_drink,7.91,5.55,5.29,5.27,24.09,0,0,0,1,3,4.37,3,price,I compare price across platforms before purchase,2,Value Seekers
R000135,value_seekers,30,7725.76,new_tier_1,tmall,ready_to_drink,8.48,5.79,5.71,5.45,16.26,1,1,1,1,2,7.58,6,promotion,livestream promotion helps me discover new products,2,Value Seekers
R000136,convenience_first,19,23980.05,tier_2,tmall,home_cleaning,6.06,7.49,8.21,5.13,29.61,1,1,1,1,2,8.85,10,quality,quality improvement would make me repurchase more often,3,Convenience Driven
R000137,eco_advocates,35,17498.91,tier_2,jd,healthy_snack,5.59,6.2,5.39,9.85,29.86,0,0,0,0,0,6.05,5,sustainability,I prefer brands with recyclable packaging,4,Eco Advocates
R000138,eco_advocates,32,12385.12,new_tier_1,offline_supermarket,personal_care,5.28,9.02,6.18,9.44,41.23,1,1,1,1,1,10.0,10,quality,the product quality is stable and trustworthy,4,Eco Advocates
R000139,quality_first,24,7040.99,new_tier_1,offline_supermarket,ready_to_drink,5.67,9.39,6.1,7.84,31.71,1,1,0,0,0,7.3,8,packaging,portable packaging is useful for work and travel,1,Quality Loyalists
